STRIP_NO,STAND_NO,kmCal,kmAct,STRAINRATE_POST,KM,STRAIN_RATE
7474571100,6,215.6816,211.0005,52.59828,214.9448,50.66867
7474571100,7,266.5245,272.2282,53.05959,263.4036,50.596
7474571200,1,126.7174,134.9251,6.710939,126.7002,6.663277
7474571200,2,134.0426,146.5769,12.04457,134.0731,12.15092
7474571200,3,143.7272,146.6529,20.52726,143.4174,20.41221
7474571200,4,176.5719,181.11,26.61806,175.7609,26.25531
7474571200,5,181.2465,170.9283,45.39947,179.6403,43.18025
7474571200,6,179.6352,177.7298,49.05489,177.8113,47.31214
7474571200,7,223.0522,228.6801,50.84233,221.0652,49.2162
7474571300,1,124.4026,132.0852,6.653243,124.4085,6.675967
7474571300,2,134.2908,142.9772,12.02983,134.3641,12.16632
7474571300,3,141.0281,145.3054,20.51965,140.7635,20.42708
7474571300,4,172.3772,176.9284,25.97195,172.5422,26.26502
7474571300,5,179.517,176.6187,44.89555,179.2017,43.18136
7474571300,6,179.0625,181.4202,49.47364,178.3442,47.3023
7474571300,7,223.6035,236.5421,51.84859,222.6268,49.1983
7474571400,1,124.434,131.0269,6.63868,124.4183,6.664878
7474571400,2,134.4709,141.4217,12.05571,134.5069,12.15287
7474571400,3,140.616,144.3886,20.46432,140.4158,20.41411
7474571400,4,171.6998,173.8043,25.72286,172.0853,26.25656
7474571400,5,176.2654,179.9934,44.55995,176.1255,43.18044
7474571400,6,176.5846,179.6113,49.23952,175.9423,47.31094
7474571400,7,222.0757,228.6698,51.54537,220.0726,49.214
7474571500,1,126.8689,134.6307,8.003994,126.9184,8.057153
7474571500,2,143.4397,145.6809,15.05759,143.4316,15.21783
7474571500,3,154.2534,150.9293,25.67358,154.2242,25.88793
7474571500,4,183.3213,190.3919,33.47101,183.7073,34.42544
7474571500,5,204.9159,210.3455,57.17454,205.3242,55.88844
7474571500,6,223.1452,229.6043,64.82549,222.9653,62.2103
7474571500,7,274.293,289.7669,63.95598,272.7686,59.17404
7474571600,1,131.8463,134.5063,8.108047,131.7958,8.076474
7474571600,2,141.8506,144.3596,15.1254,141.9051,15.24174
7474571600,3,153.6894,148.5949,25.89696,153.553,25.9111
7474571600,4,184.5001,186.8358,34.07801,184.3895,34.44051
7474571600,5,206.8021,208.2135,57.94194,205.9888,55.88947
7474571600,6,225.1418,221.1411,64.66911,223.8559,62.19351
7474571600,7,277.6861,291.7348,60.80225,274.957,59.1481
7474571800,1,125.0019,129.2943,7.922103,125.0586,8.004559
7474571800,2,134.2489,141.2105,15.98521,134.3718,16.17862
7474571800,3,147.9044,143.7089,28.85982,147.9001,29.25305
7474571800,4,178.5808,184.5874,40.55689,178.953,41.79425
7474571800,5,187.4692,182.2441,71.63921,187.5814,69.46393
7474571800,6,187.9105,192.8962,78.07038,187.3573,75.71326
7474571800,7,233.1342,236.5501,78.1035,231.5887,73.82297
7474571900,1,145.7837,159.0778,9.081269,145.8446,9.128381
7474571900,2,162.1569,168.2611,18.07023,162.4437,18.49954
7474571900,3,171.9598,167.1641,34.70193,171.7048,34.61254
7474571900,4,205.0061,196.4384,51.86275,204.7143,51.36162
7474571900,5,220.1371,215.0989,81.32255,219.8967,81.24113
7474571900,6,229.4849,252.9519,95.32517,228.7786,93.8531
7474571900,7,288.5879,291.3851,102.1375,286.4554,94.23462
7474572500,1,127.4813,127.2121,8.906096,127.541,8.951555
7474572500,2,145.8067,147.2587,20.1013,145.9691,20.38121
7474572500,3,148.5717,150.7742,37.23993,148.6118,37.90439
7474572500,4,187.1549,183.4348,52.87938,187.1801,53.1129
7474572500,5,204.2192,194.4172,90.9565,203.4694,87.81878
7474572500,6,200.8398,196.4858,102.7191,199.6836,100.1509
7474572500,7,223.8631,238.1733,103.5955,222.0224,102.3933
7474572600,1,127.7056,130.4513,8.503592,127.7138,8.509805
7474572600,2,146.6181,147.0087,19.23591,146.7566,19.41149
7474572600,3,161.7304,156.3262,36.25762,161.2999,36.15205
7474572600,4,201.0211,193.6744,51.98648,200.6461,50.70342
7474572600,5,215.9464,217.6691,85.14927,214.9144,83.90083
7474572600,6,229.1021,229.2928,100.5772,227.3801,95.73412
7474572600,7,280.2749,283.1239,101.4084,275.771,97.91068
7474572700,1,128.3978,130.9846,8.488642,128.38,8.491748
7474572700,2,146.8954,148.36,19.16364,147.0384,19.38529
7474572700,3,161.0444,157.0991,35.91058,160.8951,36.1245
7474572700,4,200.3882,199.1508,51.07478,200.0927,50.68392
7474572700,5,215.8685,221.2172,85.79681,215.3777,83.89602
7474572700,6,228.6677,234.8255,100.696,227.5527,95.75015
7474572700,7,278.3738,285.662,103.2045,276.2167,97.94076
7474572800,1,129.4943,132.5961,8.610184,129.4698,8.615157
7474572800,2,145.2268,149.6672,16.8064,145.4045,17.01615
7474572800,3,161.8528,156.9836,30.36382,161.693,30.4458
7474572800,4,192.5817,196.0999,42.83356,192.1242,42.66999
7474572800,5,213.7949,217.45,76.68528,212.7502,73.55228
7474572800,6,224.3024,226.5642,87.45979,222.867,85.80987
7474572800,7,280.2726,281.7371,78.90696,276.7155,75.76846
7474572900,1,127.9303,128.5314,8.60589,127.8812,8.59834
7474572900,2,143.7326,147.1809,16.79187,143.8752,16.99421
7474572900,3,160.6074,153.1103,30.49335,160.2952,30.42284
7474572900,4,192.234,195.5649,42.42694,192.1784,42.65338
7474572900,5,215.1628,221.0547,75.81053,214.8067,73.54896
7474572900,6,225.5677,236.7971,87.7352,224.8324,85.82655
7474572900,7,282.1052,285.9743,80.39072,280.4455,75.79232
7474573000,1,124.9043,123.6827,8.132649,124.8847,8.128121
7474573000,2,144.8804,141.5301,17.89075,144.764,17.86257
7474573000,3,145.6153,147.3268,34.70682,145.9573,35.72575
7474573000,4,184.5018,183.3024,50.46316,184.6842,50.59719
7474573000,5,193.7813,197.5676,84.15232,193.4559,82.03579
7474573000,6,198.6248,199.5861,103.3569,197.987,101.6339
7474573000,7,228.0582,243.2704,91.64487,226.579,93.27886
7474573100,1,128.0489,126.8142,9.329076,128.0705,9.34187
7474573100,2,141.9857,144.7422,20.36827,142.0506,20.53399
7474573100,3,150.1331,149.8641,39.75702,150.4565,41.07565
7474573100,4,193.4302,185.2746,57.98544,193.2012,58.18036
7474573100,5,203.1712,195.6782,99.26785,201.8683,94.33914
7474573100,6,198.2025,190.4589,117.926,197.0079,116.8844
7474573100,7,230.4783,233.8154,100.5311,227.5742,107.2795
7474573200,1,135.9121,136.4647,8.56363,135.977,8.595122
7474573200,2,152.0414,155.6443,16.8672,152.0665,16.99818
7474573200,3,165.8383,160.4844,30.24652,165.6539,30.44483
7474573200,4,194.6059,197.0826,42.63544,194.5491,42.69865
7474573200,5,216.5737,217.8576,76.44164,215.8817,73.65015
7474573200,6,227.6977,225.4699,89.05791,226.6002,85.96346
7474573200,7,283.8237,285.8729,79.80405,281.5341,75.9216
7474573300,1,124.8015,124.7615,8.073043,124.8451,8.091688
7474573300,2,144.4546,143.9399,17.6401,144.526,17.81973
7474573300,3,146.1281,149.1416,34.95188,146.3105,35.70365
7474573300,4,184.6998,187.3687,50.56432,184.5976,50.6229
7474573300,5,194.507,198.8371,84.80099,193.9346,82.15385
7474573300,6,198.9869,195.1638,103.4463,198.2015,101.8524
7474573300,7,230.0961,241.3548,97.95578,228.5784,93.51417
7474573400,1,115.9918,121.9361,8.070625,116.0531,8.106251
7474573400,2,137.2955,141.3511,17.66914,137.3259,17.84086
7474573400,3,145.1792,149.5499,34.74471,145.4695,35.72733
7474573400,4,184.3375,186.8074,50.39934,183.9961,50.63975
7474573400,5,194.3177,193.9101,85.4502,193.6169,82.15874
7474573400,6,198.1674,196.3326,103.0059,197.108,101.8372
7474573400,7,232.3268,240.4446,95.96793,229.4302,93.49013
7474573500,1,116.9714,133.5296,8.072739,116.9822,8.104465
7474573500,2,137.1419,139.9725,16.72603,137.1449,16.84227
7474573500,3,144.0683,147.6221,31.16976,144.0527,31.62895
7474573500,4,182.2044,186.9661,45.87722,182.0485,46.20877
7474573500,5,193.8282,198.3739,80.07977,193.506,78.01836
7474573500,6,191.0158,202.67,96.68764,190.1895,93.2136
7474573500,7,218.9665,237.0723,96.99277,217.3501,91.83127
7474573600,1,126.7971,127.5154,8.492395,126.7915,8.511649
7474573600,2,145.5104,144.4839,17.51135,145.5498,17.6871
7474573600,3,146.8076,148.5603,32.46342,147.0133,33.21336
7474573600,4,184.1673,182.3087,48.34711,184.1243,48.52145
7474573600,5,193.7535,197.2809,83.95815,193.1724,81.91991
7474573600,6,194.0072,187.0557,99.57677,193.1431,97.87236
7474573600,7,241.386,223.749,97.58139,238.4937,96.41937
7474573700,1,118.1516,123.7285,8.061794,118.1681,8.10793
7474573700,2,136.5224,139.7866,16.65969,136.6337,16.8471
7474573700,3,143.4811,145.4916,30.99141,143.5938,31.63429
7474573700,4,181.3435,183.1808,45.49924,181.231,46.21281
7474573700,5,193.3448,197.4698,80.41292,192.8147,78.01965
7474573700,6,193.9639,192.7145,96.30916,193.0141,93.21044
7474573700,7,219.8997,223.9226,94.84652,218.1388,91.82541
7474573800,1,117.5681,118.677,8.085329,117.5751,8.102204
7474573800,2,134.7846,137.5129,16.60122,134.9198,16.83913
7474573800,3,142.4178,143.7329,31.00156,142.4719,31.62549
7474573800,4,179.8064,180.272,45.52202,179.8581,46.20615
7474573800,5,192.466,195.5918,81.21681,191.3186,78.01758
7474573800,6,193.34,192.0335,94.80165,191.8888,93.21575
7474573800,7,221.2711,211.6653,94.48151,217.8171,91.83511
7474573900,1,116.6955,118.247,8.095363,116.7137,8.110421
7474573900,2,134.1855,145.0905,16.92857,134.215,16.85057
7474573900,3,146.5032,139.5306,31.17234,146.1332,31.63817
7474573900,4,180.6636,177.8227,46.03459,180.2916,46.21574
7474573900,5,193.1623,196.8423,80.61464,192.1505,78.02058
7474573900,6,193.7443,195.3078,95.52804,192.2888,93.20809
7474573900,7,221.2318,225.6413,92.6464,217.3981,91.82122
7474574000,1,113.4896,117.3898,8.090285,113.5101,8.112227
7474574000,2,135.3773,132.1994,16.77186,135.3915,16.85308
7474574000,3,145.2904,142.5392,31.24282,145.2448,31.64095
7474574000,4,180.3454,179.7472,46.08215,180.0073,46.21786
7474574000,5,193.3804,196.9929,80.20094,192.6677,78.02126
7474574000,6,193.7583,192.0177,96.10441,192.5779,93.20649
7474574000,7,221.6642,226.8169,94.37361,218.0313,91.81821
7474574100,1,118.7308,121.1401,8.087336,118.768,8.123006
7474574100,2,137.1533,140.6761,16.71445,137.2515,16.86806
7474574100,3,144.4799,147.9059,31.30321,144.4408,31.65748
7474574100,4,182.7368,184.6879,46.18382,182.4193,46.2304
7474574100,5,195.1501,192.8351,80.80241,194.5413,78.02512
7474574100,6,192.8551,194.5038,95.04482,191.7836,93.19644
7474574100,7,230.4959,234.8205,96.12388,228.4933,91.79996
7474574200,1,117.7331,125.8418,8.08285,117.7666,8.120453
7474574200,2,136.065,135.4491,16.607,136.1213,16.86451
7474574200,3,142.9912,149.4609,30.98981,143.1805,31.65359
7474574200,4,180.4042,197.5854,47.22011,179.9325,46.22746
7474574200,5,193.5881,182.0388,81.10085,193.1099,78.02428
7474574200,6,193.3845,189.1236,93.72083,192.481,93.19889
7474574200,7,222.058,219.4406,95.34365,218.8114,91.80433
7474574300,1,119.5593,128.7138,8.105523,119.5969,8.123664
7474574300,2,136.852,138.3838,16.59997,136.9227,16.86898
7474574300,3,145.043,145.2486,31.36144,144.8656,31.65852
7474574300,4,181.8144,183.1747,45.83852,181.6859,46.23119
7474574300,5,194.3001,195.2128,79.89716,193.2317,78.02541
7474574300,6,192.5303,196.6487,96.41899,191.1071,93.19588
7474574300,7,221.7474,229.9748,94.10015,219.3252,91.7989
7474574400,1,119.279,120.5778,8.716979,119.2274,8.701408
7474574400,2,138.5569,138.2458,18.97515,138.5442,19.13029
7474574400,3,143.9569,144.2833,36.83051,144.1608,37.67936
7474574400,4,187.2282,186.7549,54.42248,187.4033,55.56747
7474574400,5,200.4396,198.3325,95.50381,200.1883,92.48801
7474574400,6,193.2647,193.1902,111.8771,192.4664,109.3486
7474574400,7,236.6042,232.1881,110.1816,233.1974,105.6086
7474574500,1,112.5105,125.8318,8.299702,112.5055,8.289101
7474574500,2,126.1379,132.8558,18.08883,126.098,18.22231
7474574500,3,146.5838,143.9976,35.18052,146.7351,35.88855
7474574500,4,183.8086,194.5121,53.15377,183.3873,52.92391
7474574500,5,197.2256,202.8453,90.82301,196.7031,88.08457
7474574500,6,196.1225,207.0233,109.7453,194.8957,104.1396
7474574500,7,238.5972,263.2879,106.7296,234.4222,100.5763
7474574600,1,113.5016,114.7968,8.282948,113.4855,8.280026
7474574600,2,126.0914,133.6084,17.87252,126.221,18.20919
7474574600,3,145.4234,144.0679,35.19043,145.5412,35.87378
7474574600,4,183.5134,185.4818,52.41067,183.3577,52.91298
7474574600,5,196.7358,202.1451,91.32826,195.8332,88.08156
7474574600,6,195.6864,197.8152,107.1268,194.5482,104.1486
7474574600,7,237.6204,237.4764,102.6659,235.259,100.5918
7474574700,1,120.8022,124.3802,8.641356,120.868,8.691904
7474574700,2,137.7172,141.4324,19.11267,137.6591,19.11655
7474574700,3,143.4768,148.3939,37.46157,143.2309,37.6639
7474574700,4,183.4,190.4237,54.92719,183.0031,55.55602
7474574700,5,199.4152,206.1739,95.90906,198.6186,92.48483
7474574700,6,192.4472,200.9385,114.1342,191.2153,109.358
7474574700,7,235.0979,269.6343,108.7074,231.3219,105.6248
7474574800,1,104.0564,117.9446,8.272429,104.0564,8.291302
7474574800,2,127.0756,132.49,18.10739,127.1926,18.22549
7474574800,3,145.6123,143.1213,35.72456,145.5541,35.89214
7474574800,4,184.017,186.6575,52.40545,183.8709,52.92656
7474574800,5,197.6576,202.2053,90.81767,196.8968,88.0853
7474574800,6,196.0733,197.1764,105.9631,195.2866,104.1375
7474574800,7,239.4664,269.2999,97.70988,235.9883,100.5725
7474574900,1,118.118,123.7076,9.174537,118.0581,9.135386
7474574900,2,144.8153,139.1321,20.01341,144.7083,20.08521
7474574900,3,151.0557,144.909,38.94194,151.1677,39.56151
7474574900,4,189.4665,187.5466,58.10244,189.3829,58.34448
7474574900,5,201.0319,201.0606,101.7649,199.9267,97.11192
7474574900,6,188.8508,190.2007,117.6344,187.7457,114.817
7474574900,7,230.4293,252.7909,113.3054,227.1063,110.8909
7474575000,1,121.5028,127.1706,9.50869,121.4806,9.521768
7474575000,2,145.7871,141.9082,20.73788,145.8921,20.94014
7474575000,3,151.6566,144.5961,40.32885,151.9527,41.2542
7474575000,4,193.528,185.886,60.63049,193.6295,60.84946
7474575000,5,199.4328,196.6964,105.4917,198.6851,101.2934
7474575000,6,196.7316,185.1317,119.2252,195.8237,119.7708
7474575000,7,239.1023,241.68,117.6383,239.0498,115.6807
7474575100,1,119.6674,118.9155,8.28495,119.6337,8.2685
7474575100,2,132.5938,141.0632,18.03328,132.6632,18.19251
7474575100,3,143.9271,146.5231,35.47838,143.833,35.85492
7474575100,4,183.991,188.4955,52.34337,183.8638,52.89901
7474575100,5,201.0592,201.5307,91.83035,200.3413,88.07758
7474575100,6,198.5365,200.1224,106.0852,197.5607,104.1598
7474575100,7,243.2788,244.9791,106.2193,241.1566,100.6113
7474575200,1,118.9737,123.9646,8.292847,118.9258,8.258865
7474575200,2,133.1904,137.8817,18.06184,133.1585,18.17857
7474575200,3,143.924,148.6219,35.58916,143.7749,35.8392
7474575200,4,185.6907,195.1062,52.64597,185.5693,52.88735
7474575200,5,200.6615,213.8732,89.80502,200.317,88.07431
7474575200,6,197.6825,223.2395,106.6162,197.0221,104.1692
7474575200,7,245.0793,277.621,105.988,241.7538,100.6277
7474575300,1,119.8681,121.1718,8.638921,119.9222,8.683577
7474575300,2,144.7369,139.6658,18.9716,144.7248,19.1045
7474575300,3,145.8677,143.1203,36.81667,146.1287,37.6503
7474575300,4,187.2501,184.386,55.57883,186.9768,55.54593
7474575300,5,197.9352,200.2579,96.14264,196.818,92.48196
7474575300,6,194.0964,189.5632,110.3406,192.8439,109.3661
7474575300,7,237.8989,238.3441,105.8612,235.7728,105.6389
7474575400,1,118.3072,126.2417,9.091127,118.3434,9.11468
7474575400,2,143.5527,142.855,19.9876,143.5224,20.05527
7474575400,3,150.1434,149.9002,39.44649,149.778,39.52775
7474575400,4,189.3427,193.9332,57.97339,189.0708,58.31947
7474575400,5,200.9636,210.1092,100.1889,200.3085,97.10493
7474575400,6,192.5061,207.664,117.9248,191.4363,114.8373
7474575400,7,242.7009,277.2188,112.7321,239.2949,110.9261
7474575500,1,126.1201,127.6224,8.395986,126.1054,8.392471
7474575500,2,147.5976,144.7712,19.57213,147.4806,19.60236
7474575500,3,149.9991,153.572,40.46712,149.8302,40.57544
7474575500,4,191.094,193.1156,58.02528,190.7968,58.62608
7474575500,5,200.0926,208.3117,101.6012,199.8267,101.0852
7474575500,6,197.7936,212.5535,118.0779,197.2028,117.5668
7474575500,7,249.578,251.5746,122.3339,248.2174,113.5299
7474575600,1,128.555,134.1808,9.721972,128.5808,9.74215
7474575600,2,144.2004,145.412,22.72832,144.1579,22.98174
7474575600,3,152.3075,150.236,46.28155,152.103,46.52411
7474575600,4,199.6365,187.147,69.19154,199.0986,67.7969
7474575600,5,207.8018,208.6365,115.1734,207.1275,115.1761
7474575600,6,197.5716,209.1429,135.792,197.4827,133.2766
7474575600,7,247.2537,262.5446,124.1212,246.446,114.0099
7474575700,1,121.9014,123.9523,9.351789,121.8465,9.332156
7474575700,2,138.822,137.9548,21.85704,138.8047,22.00491
7474575700,3,151.8635,144.5034,44.46092,151.6979,44.53093
7474575700,4,191.3203,189.9636,65.41132,191.1355,64.87784
7474575700,5,199.5333,209.0057,110.145,198.7756,110.1958
7474575700,6,196.9153,202.183,127.1628,195.9421,127.4971
7474575700,7,241.944,270.4314,113.5183,240.3931,109.0591
7474576200,1,119.0331,126.5991,9.589635,119.0188,9.586614
7474576200,2,144.7475,141.8699,23.69973,144.5706,23.77261
7474576200,3,156.0302,149.6933,46.65056,155.7229,46.96466
7474576200,4,194.1205,191.343,69.6605,193.5948,68.67233
7474576200,5,207.5848,215.8255,114.9979,206.7928,114.4434
7474576200,6,196.2655,211.3652,139.8244,195.1797,135.4317
7474576200,7,233.044,257.7079,149.4554,231.1406,130.8694
7474576300,1,118.6014,123.1423,9.611708,118.6248,9.61923
7474576300,2,142.6663,137.3784,23.59486,142.5137,23.82342
7474576300,3,153.5849,145.5213,46.67656,153.4449,47.02087
7474576300,4,191.5475,186.8789,70.01016,191.2373,68.71358
7474576300,5,206.1047,214.1551,114.4553,205.6155,114.4551
7474576300,6,195.6585,205.1111,138.4183,194.8069,135.3986
7474576300,7,228.5744,272.2551,141.6292,227.2595,130.8115
7474576400,1,119.5461,123.8497,9.615171,119.5624,9.613512
7474576400,2,143.5646,138.8046,23.64272,143.4257,23.81451
7474576400,3,153.7314,146.7701,46.88475,153.4425,47.01101
7474576400,4,192.189,185.3265,69.8372,191.9333,68.70633
7474576400,5,208.776,216.0032,115.3733,208.0108,114.453
7474576400,6,198.3708,210.3506,137.4291,197.3307,135.4043
7474576400,7,235.3029,273.5786,144.2707,233.3705,130.8216
7474576500,1,120.1509,124.7362,9.614287,120.1566,9.604818
7474576500,2,143.3462,138.6861,23.64145,143.2061,23.80097
7474576500,3,153.5296,147.0211,47.04755,153.1091,46.99602
7474576500,4,192.2058,186.5244,69.28772,191.7762,68.69531
7474576500,5,210.5506,215.1004,115.6034,209.6532,114.4499
7474576500,6,200.691,207.3266,137.9102,199.5223,135.4131
7474576500,7,241.0862,283.7969,140.1606,238.9858,130.8371
7474576600,1,105.5951,111.9469,9.372532,105.5785,9.355908
7474576600,2,137.425,132.9022,22.95466,137.4176,23.16692
7474576600,3,161.5649,142.2536,45.55793,161.5275,45.71876
7474576600,4,192.4552,181.6523,66.70786,192.6032,66.80473
7474576600,5,207.9018,210.0784,111.6838,207.302,111.2674
7474576600,6,192.6842,190.9397,126.5341,192.0202,131.6205
7474576600,7,231.2946,255.8164,127.3126,230.216,127.1577
7474576700,1,120.8674,117.5527,8.479364,120.8786,8.47759
7474576700,2,135.0979,139.4715,18.5458,135.1651,18.89883
7474576700,3,143.7873,141.9225,37.07127,143.7017,37.4178
7474576700,4,184.0154,178.8586,54.51895,184.175,55.37316
7474576700,5,201.4238,205.9395,94.87642,200.2267,92.43311
7474576700,6,194.0664,194.2546,107.2733,192.8924,109.5056
7474576700,7,241.1868,236.6889,109.1233,237.5097,105.8817
7474576800,1,121.0438,128.3205,9.493002,121.0817,9.505247
7474576800,2,144.774,143.8901,20.98747,144.6953,21.19996
7474576800,3,151.8706,146.0283,42.13588,151.4447,41.99048
7474576800,4,193.4899,186.9088,61.75507,193.3251,62.15657
7474576800,5,201.5197,211.7641,106.5592,200.6321,103.7795
7474576800,6,200.7075,203.5232,125.3277,199.5428,122.9668
7474576800,7,243.0336,286.4483,117.3734,241.03,118.908
7474576900,1,120.8435,122.7548,8.909853,120.8153,8.886101
7474576900,2,139.9991,139.0192,19.66901,140.0116,19.8212
7474576900,3,148.526,142.0469,38.91205,148.2979,39.26309
7474576900,4,188.7594,182.2008,57.87967,188.4672,58.12273
7474576900,5,201.1438,207.5777,100.5777,200.0452,97.04929
7474576900,6,188.5626,198.6144,116.758,187.2246,114.9962
7474576900,7,232.5677,271.7888,111.8806,229.1355,111.2026
7474577000,1,118.9896,122.5178,8.033422,119.0235,8.048616
7474577000,2,135.9958,139.6914,17.86918,135.9607,17.96178
7474577000,3,144.1486,146.8744,35.75824,143.6643,35.59398
7474577000,4,185.858,187.3074,52.20415,185.5461,52.70502
7474577000,5,198.4175,217.8752,89.77239,197.6656,88.02264
7474577000,6,199.496,222.225,108.8085,198.3477,104.3164
7474577000,7,247.728,285.3752,105.5624,243.2411,100.8838
7474577100,1,126.9292,128.6994,8.905669,126.8972,8.884187
7474577100,2,146.8664,144.6751,19.57847,146.8643,19.81837
7474577100,3,149.4811,146.6811,39.44222,149.1667,39.25986
7474577100,4,189.4372,182.1551,57.59194,189.2512,58.12029
7474577100,5,202.7619,212.043,100.0965,201.9743,97.04846
7474577100,6,193.8082,207.5891,116.2189,192.6634,114.998
7474577100,7,236.7717,274.5159,116.5139,233.7962,111.2058
7474770100,1,123.6527,140.4246,8.56367,123.6699,8.578741
7474770100,2,140.3972,148.7729,16.80146,140.5443,17.00318
7474770100,3,157.4694,147.308,30.8363,156.9893,30.32899
7474770100,4,184.862,204.9342,40.72958,185.8112,42.7449
7474770100,5,213.3532,217.5889,74.79521,212.6589,72.03848
7474770100,6,224.8392,217.2356,90.46867,223.9522,87.34461
7474770100,7,278.3564,273.0004,76.20267,276.0515,75.6086
7474770200,1,128.6736,139.9789,8.536322,128.7163,8.542048
7474770200,2,145.1753,154.9189,16.58201,145.4127,16.97927
7474770200,3,161.0367,154.0054,30.04235,160.9457,30.35669
7474770200,4,191.7069,206.3618,42.72929,191.2157,42.85203
7474770200,5,213.4571,211.8313,75.51531,212.2845,72.32676
7474770200,6,224.2115,222.0187,89.147,222.4854,87.78513
7474770200,7,277.6293,279.3513,77.49812,275.0754,76.02942
7474770300,1,130.9923,139.8894,8.607654,130.924,8.55872
7474770300,2,148.7486,155.3934,16.7086,149.0009,17.00115
7474770300,3,161.6844,152.7378,30.28697,161.5155,30.37958
7474770300,4,194.5471,206.8146,42.83184,194.0772,42.86869
7474770300,5,214.6096,209.3105,75.94876,213.362,72.33
7474770300,6,225.5768,216.5239,90.74703,223.7691,87.7681
7474770300,7,279.687,289.1484,73.80536,276.7919,76.00567
7474770400,1,128.2585,139.0218,8.532547,128.3073,8.546049
7474770400,2,149.8313,154.9973,16.81933,149.9211,16.98451
7474770400,3,160.7479,156.0233,29.97936,160.6808,30.36218
7474770400,4,196.5457,209.5552,43.20855,195.7838,42.85602
7474770400,5,214.2521,209.8351,75.42527,213.0585,72.32749
7474770400,6,224.9347,219.813,89.55414,223.1008,87.78101
7474770400,7,282.7555,294.295,76.65495,279.8943,76.02372
7474770500,1,131.6689,138.9597,8.527385,131.7061,8.537493
7474770500,2,147.1692,155.4169,16.76571,147.2302,16.97328
7474770500,3,159.745,156.5583,29.97154,159.6753,30.35043
7474770500,4,197.385,207.9183,43.32877,196.6821,42.84747
7474770500,5,213.0965,215.3249,74.63147,211.9137,72.32584
7474770500,6,223.4258,223.7421,90.42136,221.8731,87.78976
7474770500,7,281.3995,290.9653,79.2686,277.64,76.036
7474770600,1,129.867,130.7482,8.053204,129.8576,8.039425
7474770600,2,142.9117,148.74,16.32647,142.9881,16.53103
7474770600,3,157.2073,150.3666,29.46749,157.2461,29.8846
7474770600,4,197.9753,201.4456,43.12955,197.5208,42.50602
7474770600,5,213.7701,209.2426,74.93319,213.0833,72.25547
7474770600,6,223.9325,221.9576,89.81248,222.9544,88.13319
7474770600,7,285.1789,289.8669,81.69685,281.8942,76.51976
7474770700,1,125.0096,129.267,8.180952,124.9817,8.15508
7474770700,2,139.6175,148.3375,15.47021,139.7858,15.72621
7474770700,3,155.7467,150.8622,30.96878,155.518,31.0897
7474770700,4,189.2331,201.6317,41.70933,188.3398,41.36441
7474770700,5,211.4267,210.829,74.23421,210.3361,72.21479
7474770700,6,223.6248,227.9755,90.80457,222.0383,88.31387
7474770700,7,280.2453,286.9474,80.1597,277.4641,76.77672
7474770800,1,129.5688,131.3934,8.036912,129.5266,8.003141
7474770800,2,143.1449,150.1721,16.25309,143.1901,16.40246
7474770800,3,157.2695,151.5703,31.20847,157.195,31.45801
7474770800,4,198.4031,202.9478,42.25345,197.7311,41.62394
7474770800,5,214.0709,216.5535,74.37714,212.9929,72.27325
7474770800,6,224.5807,232.6695,90.10889,223.2062,88.0506
7474770800,7,285.5297,294.3436,80.73588,282.989,76.40285
7474770900,1,131.3301,132.1176,7.955606,131.3959,7.982097
7474770900,2,143.1461,148.782,16.211,143.2426,16.37374
7474770900,3,155.8934,150.4662,31.13258,155.7706,31.42702
7474770900,4,198.1652,201.5535,41.87014,197.3923,41.6022
7474770900,5,213.8798,217.0279,75.2038,212.4575,72.26852
7474770900,6,224.9366,221.7761,91.81785,223.3251,88.07285
7474770900,7,286.0904,297.8862,76.15808,283.0685,76.43443
7474771000,1,130.6473,125.6937,7.332894,130.6704,7.392783
7474771000,2,138.5624,141.3058,14.93625,138.7272,15.05031
7474771000,3,149.9432,147.1102,26.33248,150.1018,26.69437
7474771000,4,180.7944,188.3704,32.6924,180.6403,32.75498
7474771000,5,201.901,201.9856,58.06302,201.1829,54.65857
7474771000,6,224.2383,205.5688,66.40482,223.1144,65.68375
7474771000,7,279.5379,286.6679,59.43949,276.1991,58.23914
7474771100,1,133.5478,130.2823,7.760084,133.5043,7.748685
7474771100,2,140.828,146.2283,15.06048,140.8652,15.18427
7474771100,3,152.0504,151.0025,26.24303,152.0072,26.55235
7474771100,4,184.3242,192.26,33.65553,184.0395,33.82605
7474771100,5,205.622,206.1573,57.23238,204.8823,54.68959
7474771100,6,222.4533,221.5154,67.22359,221.2787,65.32519
7474771100,7,279.7929,283.2041,60.52337,277.3722,57.73524
7474771200,1,127.0672,128.2126,6.006938,127.0278,6.004297
7474771200,2,135.4572,144.7284,11.31154,135.4264,11.33951
7474771200,3,145.5421,149.5712,19.97206,145.3301,20.0256
7474771200,4,178.3549,188.4373,26.42302,178.4251,27.00975
7474771200,5,198.0774,207.9468,44.61369,197.3443,43.13152
7474771200,6,215.9104,224.8569,54.8826,214.6686,53.19093
7474771200,7,271.9884,271.1917,52.35086,268.3704,49.06762
7474771300,1,132.136,130.7838,7.638824,132.1296,7.655496
7474771300,2,140.3045,148.079,14.75207,140.3927,14.9119
7474771300,3,150.7771,151.9142,26.35999,150.8653,26.83315
7474771300,4,183.7382,193.4456,33.16842,183.8012,33.66746
